address,cluster
0x00000000000cd56832ce5dfbcbff02e7ec639bc9,1
0x000000000f709dfe4346b80009b8a5197f79aa14,3
0x000000005ebfb5a950f8fdf3248e99614a7ff220,0
0x000000085d9a759bb5c3d459d638739c0f48deb0,1
0x000000df34e2422bb7744bc93ab7594d371e2d4e,0
0x00030f4b6e66c1e83d36d35be888534dad275bd0,1
0x000566b53e028d21e104e4320de61c2314ef4064,1
0x00092dd025361061c65219eecbc6305fa5f78986,0
0x000aa644afae99d06c9a0ed0e41b1e61beca958d,1
0x000ad8bc3dfbe42d9a87686f67c69001a2006da4,0
0x000adcacec318ecf629ae42ce1d48d168965bfc5,2
0x000c93b5354c75f5319db0ec272c0dd900c07b83,0
0x000ea455f073321b662635245e32ef1a488fb093,0
0x001377bc71fa1f481ed5c10db7766ee47890b5ea,2
0x0013b99e50372d609f1e1a8af83544878e99fcf7,1
0x001401f33c772ee5df6b3d57ad6a042a947fd03c,0
0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d,1
0x001be549fa377710b9e59d57bbdf593ce1e379ca,1
0x001de9cd6ff8d852991c6793e41bc9a76e8aa87e,3
0x001fd2ab86b5cf5a3892f60048c5cc30dfab081c,1
0x002153708f11f2651215059eea30820ee4d49ff3,0
0x00227ee7f4c192831529aff013827434cd1d1e46,2
0x002556d2ff1766dc2dcfe95c3066745c0eb2d885,1
0x00273c9eabc182ebf0c6f02cf466226ebf760604,0
0x002748db885d4ccfe3c7c92143f0805f4ebeec01,0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,1
0x002e3f7a59498bc26a1e83f3fa701196d90c2879,3
0x0031a2d5ea5b69bcb8e191f5f0ae7919e9c9f0db,1
0x0031fd5d3240311cde632f54128e3654e35b5dc0,2
0x00324d6fdbaa17b1a5256f396319d513aefbbacf,0
0x00350571ef908b5790bbff8ec3de63022355eb4c,0
0x0037636b7f8cd7104c54d902a7009fa02a04f38b,0
0x00418880f4712320da41a8259c774ca0e0637979,0
0x004588f6ada9a2a4f8a4578d058d37a94d29ee1d,2
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,1
0x004ff14bc58969f78b0a8063e07801831426746e,0
0x0053a843631a38569d6d1cd0bae59b891f2bbc2e,0
0x005548303d82a3ac69b9eff5d7a5b974ee7633f5,2
0x005a3e49af2cf567d655c6ccb3e5982e1d55e72b,1
0x005edb1f38420e758e58a4c35f1f03132b5989f0,0
0x00622116402f303f22d38f3ec202774f183f6468,1
0x00627e45624c979a8ebc8c8a77f81c7b64c6867f,1
0x00640215f6385bfd507405b219c3819dd6e49152,0
0x0064f043786e8c597d6565fcbf4f0989bdd0f9a3,0
0x0065a0de2b430c502f75bff3716fe5a222cd4e3b,0
0x00669622c5e504f0c7aeecf6e1488f4a29b6a193,0
0x00680258d5357a43458560ac0c8b41df2aefceda,0
0x006a8a496889e9983a5256f34b608ee9569ba319,1
0x006c3a508a0ae48624ccd586108c1d8f3c764a74,0
0x006dab95f4fb483ceb62139ad827335b06956f9c,0
0x00700d7e93dc819937f64858259061e03ac4098a,3
0x0070627f713929a44e613a0b6dead5b02b889366,2
0x007746fc965881c17936dd1429033d00fec514f2,2
0x007966345fd656f15a970601b0e505155d1d3eab,3
0x007c3efb59bc9b3f0a063e9340355273f1dfb2f1,2
0x0080a7bd3e44471b37fd042a41b9abfd48f7e7e1,2
0x0081e8540841ef446a877d0aa6a935bc1a4ed055,0
0x0084fb1d84f2359cafd00f92b901c121521d6809,1
0x00863a1c198a119e29eedf3caf27dcb4ef1b4f70,0
0x008af1daf34b9c2cc79004e7d5df22e00ffecb7e,2
0x008c9f31533dd2a327d0ff28b6fe87194de1e3d3,0
0x0096c09d8a12c9e252c0dc5d84c29d60eb6d6aa9,0
0x009fe5d253db4374f61eafb43ccd977e332f0c91,1
0x00a2ddfa736214563cea9aef5100f2e90c402918,1
0x00a63087446564108e0df27f5c26bbfa886b98cd,0
0x00a9463c1e3f22ca027ce2764d273d2677294f9a,2
0x00ad3c523b715cbd6cc1771f1a1743269b220fa4,1
0x00b99e045e63ef702ce5abaf8b145f2b4a509787,0
0x00c16c3256dc0408ebc91d62a3bc55be148b4588,0
0x00c26a41dfa0d5ae751e07c7bb2e5d1a9862d55d,2
0x00c9a5e5a7ac66f559fca57797574ea481fbc138,0
0x00cc2860117e676262532f8464f278d593d1fea1,0
0x00cdbe41c99653b6aaa2b803a5981a56bca55648,3
0x00ce366adc41787c6ac463537e9f88b3f6176509,3
0x00ce66feb54b395f074d6864da4ba1b8e689e373,0
0x00d2432e6af76a8150a7609d7ff11dbe44de8e14,0
0x00d511a506e44d30932a024c4f3852b2aff4222e,0
0x00d78b1aba84381774173856988c6571443d9013,2
0x00d7f1aa22387230cc217bc394bc85932cf4876a,0
0x00d8ec0f39fe2dec9d322a0e4b3ea1cab4ee947c,0
0x00da4b490e4cc1463bface6cd6db38ea54f3ff9b,2
0x00de3a8bdee6e682c3509d66a947d05a8ca797af,1
0x00e21da5b3311a3369798bf2555f087ba674b734,2
0x00e4beaa33a4b3133a26bbb7e802196e164dd6ad,3
